#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
34	IPR002347	Glucose/ribitol dehydrogenase	FPrintScan	PR00081	GDHRDH	5	3,78,136,168,189,	20,89,152,187,206,	2.7e-13,2.7e-13,2.7e-13,2.7e-13,2.7e-13
34	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	adh_short	1	2,	187,	5.5e-06
34	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	1,	265,	5.9e-33
44	IPR006153	Sodium/hydrogen exchanger	HMMPfam	PF00999	Na_H_Exchanger	1	44,	292,	2.2e-15
46	IPR013960	DASH complex, subunit Duo1	HMMPfam	PF08651	DASH_Duo1	1	42,	119,	2.5e-25
68	IPR000812	Transcription factor TFIIB related	FPrintScan	PR00685	TIFACTORIIB	8	53,75,90,187,213,255,289,321,	73,88,111,206,228,273,305,335,	4.1e-59,4.1e-59,4.1e-59,4.1e-59,4.1e-59,4.1e-59,4.1e-59,4.1e-59
68	IPR013150	Transcription factor TFIIB, cyclin-related	HMMPfam	PF00382	TFIIB	2	147,256,	217,326,	2.5e-24,7e-26
68	IPR013137	Zinc finger, TFIIB-type	HMMPfam	PF08271	TFIIB_Zn_Ribbon	1	37,	81,	5.8e-19
68	IPR006670	Cyclin	HMMSmart	SM00385	no description	2	145,254,	226,335,	0.00015,4.2e-07
68	IPR013137	Zinc finger, TFIIB-type	ProfileScan	PS51134	ZF_TFIIB	1	35,	68,	9.290
68	IPR011028	Cyclin-like	superfamily	SSF47954	Cyclin-like	2	139,251,	224,359,	2.6e-21,5.1e-29
72	IPR000719	Protein kinase, core	BlastProDom	PD000001	Q6SLB6_GIBMO_Q6SLB6;	1	77,	311,	2e-32
72	IPR001789	Signal transduction response regulator, receiver region	BlastProDom	PD000039	Q6SLE1_COCHE_Q6SLE1;	1	2278,	2399,	3e-29
72	IPR004358	Signal transduction histidine kinase-related protein, C-terminal	FPrintScan	PR00344	BCTRLSENSOR	4	2095,2113,2130,2154,	2109,2123,2148,2167,	1e-12,1e-12,1e-12,1e-12
72	IPR017442	Serine/threonine protein kinase-related	HMMPfam	PF00069	Pkinase	1	36,	323,	1.1e-06
72	IPR001789	Signal transduction response regulator, receiver region	HMMPfam	PF00072	Response_reg	1	2276,	2397,	5.5e-36
72	IPR003661	Signal transduction histidine kinase, subgroup 1, dimerisation and phosphoacceptor region	HMMPfam	PF00512	HisKA	1	1940,	2005,	7.4e-23
72	IPR003018	GAF	HMMPfam	PF01590	GAF	1	1618,	1763,	8.5e-07
72	IPR003594	ATP-binding region, ATPase-like	HMMPfam	PF02518	HATPase_c	1	2054,	2169,	3.3e-39
72	IPR013655	PAS fold-3	HMMPfam	PF08447	PAS_3	1	1857,	1920,	5.7e-10
72	IPR003018	GAF	HMMSmart	SM00065	no description	1	1618,	1773,	6.5e-05
72	IPR002290	Serine/threonine protein kinase	HMMSmart	SM00220	no description	1	36,	323,	4.1e-06
72	IPR003594	ATP-binding region, ATPase-like	HMMSmart	SM00387	no description	1	2054,	2170,	7e-37
72	IPR003661	Signal transduction histidine kinase, subgroup 1, dimerisation and phosphoacceptor region	HMMSmart	SM00388	no description	1	1940,	2005,	2.3e-21
72	IPR001789	Signal transduction response regulator, receiver region	HMMSmart	SM00448	no description	1	2276,	2396,	1.3e-33
72	IPR000719	Protein kinase, core	ProfileScan	PS50011	PROTEIN_KINASE_DOM	1	1,	323,	18.733
72	IPR005467	Signal transduction histidine kinase, core	ProfileScan	PS50109	HIS_KIN	1	1947,	2170,	44.285
72	IPR001789	Signal transduction response regulator, receiver region	ProfileScan	PS50110	RESPONSE_REGULATORY	1	2277,	2400,	30.352
72	IPR000700	PAS-associated, C-terminal	ProfileScan	PS50113	PAC	1	1877,	1929,	9.657
72	IPR009082	Signal transduction histidine kinase, homodimeric	superfamily	SSF47384	Homodimeric domain of signal transducing histidine kinase	1	1930,	2001,	9.8e-18
72	IPR011006	CheY-like	superfamily	SSF52172	CheY-like	1	2273,	2407,	9.6e-38
72	IPR003594	ATP-binding region, ATPase-like	superfamily	SSF55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	1	1994,	2180,	1e-44
72	IPR011009	Protein kinase-like	superfamily	SSF56112	Protein kinase-like (PK-like)	1	140,	324,	2.1e-21
73	IPR012617	TRAUB	HMMPfam	PF08164	TRAUB	1	217,	294,	2e-34
76	IPR003663	Sugar transporter	FPrintScan	PR00171	SUGRTRNSPORT	5	17,107,273,370,393,	27,126,283,391,405,	8.9e-24,8.9e-24,8.9e-24,8.9e-24,8.9e-24
76	IPR005828	General substrate transporter	HMMPfam	PF00083	Sugar_tr	1	9,	468,	7.7e-132
76	IPR003663	Sugar transporter	HMMTigr	TIGR00879	SP: MFS transporter, sugar porter (SP) famil	1	1,	464,	8.3e-92
76	IPR007114	Major facilitator superfamily	ProfileScan	PS50850	MFS	1	9,	457,	38.664
76	IPR005829	Sugar transporter, conserved site	ScanRegExp	PS00216	SUGAR_TRANSPORT_1	1	319,	336,	NA
76	IPR005829	Sugar transporter, conserved site	ScanRegExp	PS00217	SUGAR_TRANSPORT_2	1	112,	137,	8e-5
76	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	1,	465,	2.4e-53
79	IPR007872	Zinc finger, DPH-type	HMMPfam	PF05207	zf-CSL	1	5,	59,	1.3e-23
79	IPR007872	Zinc finger, DPH-type	ProfileScan	PS51074	ZF_DPH	1	3,	59,	20.853
81	IPR001487	Bromodomain	HMMPfam	PF00439	Bromodomain	1	695,	782,	7e-11
81	IPR001487	Bromodomain	HMMSmart	SM00297	no description	1	688,	796,	2e-18
81	IPR001487	Bromodomain	ProfileScan	PS50014	BROMODOMAIN_2	1	707,	777,	14.238
81	IPR001487	Bromodomain	superfamily	SSF47370	Bromodomain	1	668,	792,	5.4e-22
84	IPR013155	Valyl/Leucyl/Isoleucyl-tRNA synthetase, class I, anticodon-binding	HMMPfam	PF08264	Anticodon_1	1	816,	955,	3.3e-09
84	IPR015413	Aminoacyl-tRNA synthetase, class I (M)	HMMPfam	PF09334	tRNA-synt_1g	1	723,	777,	4.2e-07
84	IPR004493	Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic	HMMTigr	TIGR00395	leuS_arch: leucyl-tRNA synthetase	1	26,	1101,	0
84	IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	ScanRegExp	PS00178	AA_TRNA_LIGASE_I	1	74,	85,	8e-5
84	IPR001464	Annexin	ScanRegExp	PS00223	ANNEXIN	1	861,	913,	NA
84	IPR009080	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding	superfamily	SSF47323	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases	1	786,	1016,	4.6e-19
84	IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, class Ia, editing	superfamily	SSF50677	ValRS/IleRS/LeuRS editing domain	1	278,	539,	4.9e-33
85	IPR000836	Phosphoribosyltransferase	HMMPfam	PF00156	Pribosyltran	1	140,	270,	2.9e-31
85	IPR005946	Phosphoribosyl pyrophosphokinase	HMMTigr	TIGR01251	ribP_PPkin: ribose-phosphate diphosphokina	1	5,	314,	3.4e-111
85	IPR000842	Phosphoribosyl pyrophosphate synthetase, conserved site	ScanRegExp	PS00114	PRPP_SYNTHETASE	1	129,	144,	8e-5
90	IPR009349	Zinc finger, C2HC5-type	HMMPfam	PF06221	zf-C2HC5	1	355,	410,	5.8e-26
92	IPR003439	ABC transporter-like	BlastProDom	PD000006	Q6C7S1_EEEEE_Q6C7S1;	2	180,810,	222,851,	9e-13,2e-10
92	IPR003439	ABC transporter-like	HMMPfam	PF00005	ABC_tran	2	67,689,	256,885,	1.8e-40,3.7e-39
92	IPR013525	ABC-2 type transporter	HMMPfam	PF01061	ABC2_membrane	2	343,980,	556,1188,	3.5e-33,3.9e-26
92	IPR003593	AAA+ ATPase, core	HMMSmart	SM00382	no description	2	66,688,	257,886,	3.1e-10,3.5e-11
92	IPR003439	ABC transporter-like	ProfileScan	PS50893	ABC_TRANSPORTER_2	2	40,664,	280,910,	18.347,18.381
92	IPR003439	ABC transporter-like	ScanRegExp	PS00211	ABC_TRANSPORTER_1	2	180,809,	194,823,	NA,8e-5
94	IPR001357	BRCT	HMMPfam	PF00533	BRCT	1	358,	458,	6.2e-07
94	IPR010613	Pescadillo, N-terminal	HMMPfam	PF06732	Pescadillo_N	1	4,	262,	5.5e-185
94	IPR001357	BRCT	HMMSmart	SM00292	no description	1	360,	461,	0.00022
94	IPR001357	BRCT	ProfileScan	PS50172	BRCT	1	358,	471,	10.613
94	IPR001357	BRCT	superfamily	SSF52113	BRCT domain	1	358,	475,	2.6e-15
108	IPR001752	Kinesin, motor region	FPrintScan	PR00380	KINESINHEAVY	4	96,215,246,296,	117,232,264,317,	3.1e-42,3.1e-42,3.1e-42,3.1e-42
108	IPR001752	Kinesin, motor region	HMMPfam	PF00225	Kinesin	1	30,	347,	2.8e-162
108	IPR001752	Kinesin, motor region	HMMSmart	SM00129	no description	1	22,	354,	2.2e-176
108	IPR001752	Kinesin, motor region	ProfileScan	PS50067	KINESIN_MOTOR_DOMAIN2	1	21,	276,	55.344
108	IPR001752	Kinesin, motor region	ScanRegExp	PS00411	KINESIN_MOTOR_DOMAIN1	1	245,	256,	8e-5
114	IPR005378	Vacuolar protein sorting-associated protein 35	HMMPfam	PF03635	Vps35	1	55,	894,	1.4e-303
115	IPR012000	Thiamine pyrophosphate enzyme, central region	HMMPfam	PF00205	TPP_enzyme_M	1	282,	427,	3.8e-54
115	IPR011766	Thiamine pyrophosphate enzyme, C-terminal TPP-binding	HMMPfam	PF02775	TPP_enzyme_C	1	489,	636,	8.2e-80
115	IPR012001	Thiamine pyrophosphate enzyme, N-terminal TPP binding region	HMMPfam	PF02776	TPP_enzyme_N	1	85,	255,	4.2e-97
115	IPR012846	Acetolactate synthase, large subunit, biosynthetic	HMMTigr	TIGR00118	acolac_lg: acetolactate synthase, large sub	1	85,	661,	0
115	IPR000399	TPP-binding enzymes, conserved site	ScanRegExp	PS00187	TPP_ENZYMES	1	526,	545,	8e-5
122	IPR013126	Heat shock protein 70	BlastProDom	PD000089	O84965_ANAPH_O84965;	1	108,	200,	1e-26
122	IPR001023	Heat shock protein Hsp70	FPrintScan	PR00301	HEATSHOCK70	9	41,69,92,176,235,367,398,421,502,	54,81,100,196,245,383,418,440,518,	2.1e-79,2.1e-79,2.1e-79,2.1e-79,2.1e-79,2.1e-79,2.1e-79,2.1e-79,2.1e-79
122	IPR013126	Heat shock protein 70	HMMPfam	PF00012	HSP70	1	42,	643,	0
122	IPR012725	Chaperone DnaK	HMMTigr	TIGR02350	prok_dnaK: chaperone protein DnaK	1	41,	643,	0
122	IPR013126	Heat shock protein 70	ScanRegExp	PS00297	HSP70_1	1	45,	52,	8e-5
122	IPR013126	Heat shock protein 70	ScanRegExp	PS00329	HSP70_2	1	229,	242,	8e-5
122	IPR013126	Heat shock protein 70	ScanRegExp	PS01036	HSP70_3	1	370,	384,	8e-5
132	IPR002139	Ribokinase	FPrintScan	PR00990	RIBOKINASE	5	6,33,108,181,232,	27,52,121,196,243,	6.1e-27,6.1e-27,6.1e-27,6.1e-27,6.1e-27
132	IPR011611	Carbohydrate/purine kinase	HMMPfam	PF00294	PfkB	1	1,	312,	3.2e-53
132	IPR002173	Carbohydrate/puine kinase, PfkB, conserved site	ScanRegExp	PS00584	PFKB_KINASES_2	1	263,	276,	8e-5
140	IPR000868	Isochorismatase hydrolase	HMMPfam	PF00857	Isochorismatase	1	19,	215,	8.4e-16
140	IPR000868	Isochorismatase hydrolase	superfamily	SSF52499	Isochorismatase-like hydrolases	1	1,	220,	1.3e-43
140	IPR000120	Amidase signature enzyme	superfamily	SSF75304	Amidase signature (AS) enzymes	1	253,	452,	0.017
141	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	18,	59,	4.9e-06
141	IPR007219	Fungal specific transcription factor	HMMPfam	PF04082	Fungal_trans	1	410,	506,	8.7e-19
141	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMSmart	SM00066	no description	1	14,	60,	1.5e-07
141	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	19,	51,	8.852
141	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	19,	49,	NA
141	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	7,	63,	1.4e-09
147	IPR001764	Glycoside hydrolase, family 3, N-terminal	FPrintScan	PR00133	GLHYDRLASE3	5	88,112,159,190,272,	104,131,175,206,290,	1.9e-35,1.9e-35,1.9e-35,1.9e-35,1.9e-35
147	IPR001764	Glycoside hydrolase, family 3, N-terminal	HMMPfam	PF00933	Glyco_hydro_3	1	83,	306,	2.1e-113
147	IPR002772	Glycoside hydrolase, family 3, C-terminal	HMMPfam	PF01915	Glyco_hydro_3_C	1	409,	641,	1.5e-74
147	IPR001764	Glycoside hydrolase, family 3, N-terminal	ScanRegExp	PS00775	GLYCOSYL_HYDROL_F3	1	272,	289,	8e-5
147	IPR017853	Glycoside hydrolase, catalytic core	superfamily	SSF51445	(Trans)glycosidases	1	38,	408,	3e-101
147	IPR002772	Glycoside hydrolase, family 3, C-terminal	superfamily	SSF52279	Beta-D-glucan exohydrolase, C-terminal domain	1	409,	664,	1.3e-38
148	IPR010300	Cysteine dioxygenase type I	HMMPfam	PF05995	CDO_I	1	1,	186,	1.1e-37
148	IPR011051	Cupin, RmlC-type	superfamily	SSF51182	RmlC-like cupins	1	43,	205,	2.9e-11
150	IPR000719	Protein kinase, core	BlastProDom	PD000001	Q6CG49_EEEEE_Q6CG49;	1	373,	561,	3e-85
150	IPR017442	Serine/threonine protein kinase-related	HMMPfam	PF00069	Pkinase	1	369,	656,	6.1e-84
150	IPR001245	Tyrosine protein kinase	HMMSmart	SM00219	no description	1	369,	655,	3.5e-08
150	IPR002290	Serine/threonine protein kinase	HMMSmart	SM00220	no description	1	369,	656,	3.9e-69
150	IPR000719	Protein kinase, core	ProfileScan	PS50011	PROTEIN_KINASE_DOM	1	369,	656,	40.202
150	IPR017441	Protein kinase ATP binding, conserved site	ScanRegExp	PS00107	PROTEIN_KINASE_ATP	1	375,	398,	NA
150	IPR008271	Serine/threonine protein kinase, active site	ScanRegExp	PS00108	PROTEIN_KINASE_ST	1	488,	500,	NA
150	IPR011009	Protein kinase-like	superfamily	SSF56112	Protein kinase-like (PK-like)	1	336,	665,	8.9e-68
151	IPR000701	Succinate dehydrogenase, cytochrome b subunit	HMMPfam	PF01127	Sdh_cyt	1	55,	176,	1.4e-36
151	IPR014361	Succinate dehydrogenase, cytochrome b560 subunit	HMMPIR	PIRSF000178	Succinate dehydrogenase, cytochrome b560 subunit	1	1,	180,	2.3e-45
151	IPR014314	Succinate dehydrogenase, cytochrome b556 subunit	HMMTigr	TIGR02970	succ_dehyd_cytB: succinate dehydrogen	1	57,	181,	2.8e-11
151	IPR000701	Succinate dehydrogenase, cytochrome b subunit	ScanRegExp	PS01000	SDH_CYT_1	1	59,	83,	8e-5
151	IPR000701	Succinate dehydrogenase, cytochrome b subunit	ScanRegExp	PS01001	SDH_CYT_2	1	139,	152,	8e-5
152	IPR000911	Ribosomal protein L11	BlastProDom	PD001367	Q75E17_ASHGO_Q75E17;	1	13,	77,	3e-25
152	IPR000911	Ribosomal protein L11	HMMPfam	PF00298	Ribosomal_L11	1	76,	148,	9.9e-19
152	IPR000911	Ribosomal protein L11	HMMPfam	PF03946	Ribosomal_L11_N	1	12,	71,	5.2e-26
152	IPR000911	Ribosomal protein L11	HMMSmart	SM00649	no description	1	13,	149,	9.6e-59
152	IPR006519	Ribosomal protein L11, bacterial-type	HMMTigr	TIGR01632	L11_bact: ribosomal protein L11	1	9,	150,	2.2e-56
152	IPR000911	Ribosomal protein L11	superfamily	SSF46906	Ribosomal protein L11, C-terminal domain	1	71,	150,	4.4e-20
152	IPR000911	Ribosomal protein L11	superfamily	SSF54747	Ribosomal protein L11, N-terminal domain	1	12,	75,	2e-22
155	IPR007247	Ureidoglycolate hydrolase	HMMPfam	PF04115	Ureidogly_hydro	1	10,	194,	9.9e-25
155	IPR007247	Ureidoglycolate hydrolase	HMMPIR	PIRSF017306	Ureidoglycolate hydrolase	1	12,	184,	4.4e-05
158	IPR007175	RNAse P, Rpr2/Rpp21 subunit	HMMPfam	PF04032	Rpr2	1	24,	125,	2.8e-26
159	IPR002130	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type	FPrintScan	PR00153	CSAPPISMRASE	5	18,44,87,102,115,	33,56,102,114,130,	1.1e-34,1.1e-34,1.1e-34,1.1e-34,1.1e-34
159	IPR002130	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type	HMMPfam	PF00160	Pro_isomerase	1	4,	156,	5.2e-73
159	IPR002130	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type	ProfileScan	PS50072	CSA_PPIASE_2	1	8,	155,	35.837
159	IPR002130	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type	ScanRegExp	PS00170	CSA_PPIASE_1	1	39,	56,	8e-5
159	IPR015891	Cyclophilin-like	superfamily	SSF50891	Cyclophilin-like	1	5,	156,	1.5e-65
163	IPR007191	Sec8 exocyst complex component specific domain	HMMPfam	PF04048	Sec8_exocyst	1	198,	359,	2.2e-23
164	IPR005178	Protein of unknown function DUF300	HMMPfam	PF03619	DUF300	1	12,	294,	2.1e-115
165	IPR001279	Beta-lactamase-like	HMMPfam	PF00753	Lactamase_B	1	30,	220,	3.5e-15
165	IPR011108	RNA-metabolising metallo-beta-lactamase	HMMPfam	PF07521	RMMBL	1	392,	434,	7.6e-11
168	IPR015977	Nicotinate phosphoribosyltransferase-like	HMMPfam	PF04095	NAPRTase	1	169,	416,	1.7e-79
168	IPR007229	Nicotinate phosphoribosyltransferase-related	HMMPIR	PIRSF000484	Nicotinate phosphoribosyltransferase	1	3,	425,	1.1e-62
168	IPR006406	Nicotinate phosphoribosyltransferase	HMMTigr	TIGR01514	NAPRTase: nicotinate phosphoribosyltransfera	1	10,	416,	7.4e-161
173	IPR003689	Zinc/iron permease	HMMPfam	PF02535	Zip	1	10,	425,	1.1e-25
176	IPR001425	Rhodopsin, bacterial	FPrintScan	PR00251	BACTRLOPSIN	4	106,134,158,199,	127,153,179,217,	1.8e-06,1.8e-06,1.8e-06,1.8e-06
176	IPR001425	Rhodopsin, bacterial	HMMPfam	PF01036	Bac_rhodopsin	1	31,	267,	1.1e-08
176	IPR011701	Major facilitator superfamily MFS-1	HMMPfam	PF07690	MFS_1	1	462,	860,	7.1e-30
176	IPR007114	Major facilitator superfamily	ProfileScan	PS50850	MFS	1	456,	890,	17.056
176	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	423,	888,	2.2e-57
192	IPR002100	Transcription factor, MADS-box	FPrintScan	PR00404	MADSDOMAIN	3	3,23,38,	23,38,59,	5.4e-19,5.4e-19,5.4e-19
192	IPR002100	Transcription factor, MADS-box	HMMPfam	PF00319	SRF-TF	1	9,	59,	4.4e-26
192	IPR002100	Transcription factor, MADS-box	HMMSmart	SM00432	no description	1	1,	60,	1.9e-27
192	IPR002100	Transcription factor, MADS-box	ProfileScan	PS50066	MADS_BOX_2	1	1,	61,	25.805
192	IPR002100	Transcription factor, MADS-box	ScanRegExp	PS00350	MADS_BOX_1	1	3,	57,	8e-5
192	IPR002100	Transcription factor, MADS-box	superfamily	SSF55455	SRF-like	1	1,	76,	7.8e-26
204	IPR001026	Epsin, N-terminal	HMMPfam	PF01417	ENTH	1	41,	165,	9.2e-68
204	IPR013809	Epsin-like, N-terminal	HMMSmart	SM00273	no description	1	42,	169,	2.3e-54
204	IPR013809	Epsin-like, N-terminal	ProfileScan	PS50942	ENTH	1	36,	169,	39.752
204	IPR008942	ENTH/VHS	superfamily	SSF48464	ENTH/VHS domain	1	21,	169,	3.4e-49
206	IPR004331	SPX, N-terminal	HMMPfam	PF03105	SPX	1	1,	216,	2e-28
206	IPR004680	Divalent ion symporter	HMMPfam	PF03600	CitMHS	1	363,	734,	4e-06
207	IPR008676	MRG	HMMPfam	PF05712	MRG	1	66,	315,	5e-75
215	IPR015793	Pyruvate kinase, barrel	BlastProDom	PD001009	KPYK_YARLI_P30614;	2	9,200,	107,374,	3e-09,2e-79
215	IPR015793	Pyruvate kinase, barrel	FPrintScan	PR01050	PYRUVTKNASE	7	86,216,246,273,298,323,342,	102,230,272,297,322,341,358,	4e-82,4e-82,4e-82,4e-82,4e-82,4e-82,4e-82
215	IPR015793	Pyruvate kinase, barrel	HMMPfam	PF00224	PK	1	27,	374,	5.9e-255
215	IPR015794	Pyruvate kinase, alpha/beta	HMMPfam	PF02887	PK_C	1	388,	511,	2.1e-69
215	IPR001697	Pyruvate kinase	HMMTigr	TIGR01064	pyruv_kin: pyruvate kinase	1	28,	512,	2.1e-262
215	IPR015793	Pyruvate kinase, barrel	ScanRegExp	PS00110	PYRUVATE_KINASE	1	244,	256,	8e-5
215	IPR011037	Pyruvate kinase, beta-barrel-like	superfamily	SSF50800	PK beta-barrel domain-like	1	97,	197,	2.4e-28
215	IPR015813	Pyruvate/Phosphoenolpyruvate kinase, catalytic core	superfamily	SSF51621	Phosphoenolpyruvate/pyruvate domain	1	10,	375,	1.4e-96
215	IPR015795	Pyruvate kinase, C-terminal-like	superfamily	SSF52935	PK C-terminal domain-like	1	352,	512,	3.1e-44
223	IPR000751	M-phase inducer phosphatase	FPrintScan	PR00716	MPIPHPHTASE	4	343,365,434,462,	363,385,455,479,	7.5e-26,7.5e-26,7.5e-26,7.5e-26
223	IPR001763	Rhodanese-like	HMMPfam	PF00581	Rhodanese	1	352,	457,	1e-30
223	IPR001763	Rhodanese-like	HMMSmart	SM00450	no description	1	349,	460,	5.3e-21
223	IPR001763	Rhodanese-like	ProfileScan	PS50206	RHODANESE_3	1	359,	463,	17.873
223	IPR001763	Rhodanese-like	superfamily	SSF52821	Rhodanese/Cell cycle control phosphatase	1	316,	489,	1.4e-38
228	IPR006153	Sodium/hydrogen exchanger	HMMPfam	PF00999	Na_H_Exchanger	1	16,	436,	5e-61
228	IPR013928	Alkali metal cation/H+ antiporter Nha1, C-terminal	HMMPfam	PF08619	Nha1_C	1	458,	861,	1.5e-13
230	IPR001680	WD40 repeat	FPrintScan	PR00320	GPROTEINBRPT	3	177,221,324,	191,235,338,	0.00018,0.00018,0.00018
230	IPR001680	WD40 repeat	HMMPfam	PF00400	WD40	4	108,152,195,290,	147,190,234,337,	8.3e-05,0.00016,8.9e-05,0.0079
230	IPR001680	WD40 repeat	HMMSmart	SM00320	no description	6	16,59,107,151,194,289,	55,101,147,190,234,337,	1.7e+02,40,1.3e-05,0.0016,3.8e-05,0.054
230	IPR006575	RWD	HMMSmart	SM00591	no description	1	457,	565,	3.7e-06
230	IPR001680	WD40 repeat	ProfileScan	PS50082	WD_REPEATS_2	3	114,168,201,	150,190,243,	9.172,8.604,10.442
230	IPR001680	WD40 repeat	ProfileScan	PS50294	WD_REPEATS_REGION	1	114,	243,	20.092
230	IPR006575	RWD	ProfileScan	PS50908	RWD	1	457,	565,	12.476
230	IPR011046	WD40 repeat-like	superfamily	SSF50978	WD40 repeat-like	1	27,	341,	7.8e-45
230	IPR016135	Ubiquitin-conjugating enzyme/RWD-like	superfamily	SSF54495	UBC-like	1	441,	543,	0.00083
