#proteinId	gotermId	goName	gotermType	goAcc
34	5830	metabolic process	biological_process	GO:0008152
34	9710	oxidoreductase activity	molecular_function	GO:0016491
34	2290	catalytic activity	molecular_function	GO:0003824
34	3708	binding	molecular_function	GO:0005488
34	2710	estradiol 17-beta-dehydrogenase activity	molecular_function	GO:0004303
44	4993	regulation of pH	biological_process	GO:0006885
44	8649	solute:hydrogen antiporter activity	molecular_function	GO:0015299
44	9321	integral to membrane	cellular_component	GO:0016021
68	3866	transcription factor complex	cellular_component	GO:0005667
68	4501	transcription initiation	biological_process	GO:0006352
68	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
68	5939	zinc ion binding	molecular_function	GO:0008270
68	13391	transcription regulator activity	molecular_function	GO:0030528
68	19908	regulation of transcription	biological_process	GO:0045449
68	2228	translation initiation factor activity	molecular_function	GO:0003743
68	3727	protein binding	molecular_function	GO:0005515
68	3838	nucleus	cellular_component	GO:0005634
68	4557	translational initiation	biological_process	GO:0006413
72	154	two-component sensor activity	molecular_function	GO:0000155
72	157	two-component signal transduction system (phosphorelay)	biological_process	GO:0000160
72	3043	protein kinase activity	molecular_function	GO:0004672
72	3736	ATP binding	molecular_function	GO:0005524
72	4602	protein amino acid phosphorylation	biological_process	GO:0006468
72	155	two-component response regulator activity	molecular_function	GO:0000156
72	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
72	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
72	5250	signal transduction	biological_process	GO:0007165
72	9320	membrane	cellular_component	GO:0016020
72	9581	phosphorylation	biological_process	GO:0016310
72	9970	transferase activity, transferring phosphorus-containing groups	molecular_function	GO:0016772
72	3044	protein histidine kinase activity	molecular_function	GO:0004673
72	10446	peptidyl-histidine phosphorylation	biological_process	GO:0018106
72	3228	signal transducer activity	molecular_function	GO:0004871
72	10450	histone arginine kinase activity	molecular_function	GO:0018110
73	3838	nucleus	cellular_component	GO:0005634
76	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
76	6276	carbohydrate transport	biological_process	GO:0008643
76	9320	membrane	cellular_component	GO:0016020
76	3546	transporter activity	molecular_function	GO:0005215
76	4927	transport	biological_process	GO:0006810
76	9321	integral to membrane	cellular_component	GO:0016021
76	6356	L-arabinose isomerase activity	molecular_function	GO:0008733
81	611	diacylglycerol pyrophosphate phosphatase activity	molecular_function	GO:0000810
81	3147	thiamin-pyrophosphatase activity	molecular_function	GO:0004787
81	6073	8-oxo-7,8-dihydroguanine triphosphatase activity	molecular_function	GO:0008413
81	6379	UDP-2,3-diacylglucosamine hydrolase activity	molecular_function	GO:0008758
81	6416	bis(5'-nucleosyl)-tetraphosphatase activity	molecular_function	GO:0008796
81	6447	dATP pyrophosphohydrolase activity	molecular_function	GO:0008828
